iter	Logloss
0	0.6837189503
1	0.6751287203
2	0.66655512
3	0.6570208398
4	0.6478301346
5	0.6412345749
6	0.6327501025
7	0.624518403
8	0.6165949834
9	0.6088295848
10	0.6017797885
11	0.5944938365
12	0.5872843011
13	0.5796843203
14	0.5718951075
15	0.5647146631
16	0.5585146186
17	0.5522093562
18	0.5447631049
19	0.5381705766
20	0.5326584653
21	0.5261147736
22	0.5209346947
23	0.5142945862
24	0.5076166695
25	0.5018929633
26	0.4967758959
27	0.4920506889
28	0.4854913401
29	0.4791217495
30	0.4734470214
31	0.4687031563
32	0.4629417579
33	0.4570753282
34	0.4519109604
35	0.4469233041
36	0.4421619713
37	0.4375539494
38	0.4327957094
39	0.42766639
40	0.4234531388
41	0.4181916676
42	0.4133998506
43	0.4089978655
44	0.4050886951
45	0.4008271598
46	0.3962557845
47	0.3924889327
48	0.3880014442
49	0.3838508988
50	0.379214154
51	0.375669328
52	0.3721689282
53	0.3685449436
54	0.3652645348
55	0.3605541912
56	0.3570994951
57	0.3538395231
58	0.3507713964
59	0.3475581999
60	0.3441881504
61	0.341046072
62	0.3379687169
63	0.3349998009
64	0.3322782874
65	0.3288780472
66	0.3259723838
67	0.3233619343
68	0.3205309161
69	0.3179290121
70	0.3154643308
71	0.3125001254
72	0.3098186575
73	0.3074411356
74	0.3050182636
75	0.3024549814
76	0.299694434
77	0.2973701407
78	0.2949130685
79	0.2929073176
80	0.2909564586
81	0.2887716023
82	0.2866268444
83	0.2843369094
84	0.2816921963
85	0.2798228447
86	0.2781622213
87	0.2759510312
88	0.2740360617
89	0.2723422055
90	0.2703697738
91	0.2678930748
92	0.2663656574
93	0.2638677636
94	0.2613273948
95	0.2594312614
96	0.2576371892
97	0.2562129709
98	0.2547353729
99	0.253426778
100	0.2514011269
101	0.2496222446
102	0.2480461523
103	0.2460885012
104	0.2444740313
105	0.2427622854
106	0.2408497971
107	0.2394910389
108	0.2378226002
109	0.2366800645
110	0.2350162684
111	0.2335442962
112	0.2322833583
113	0.2308914561
114	0.2293918328
115	0.2277010884
116	0.226130615
117	0.2247519812
118	0.2232829342
119	0.2220222879
120	0.2207413819
121	0.2196536077
122	0.2181943987
123	0.2165971184
124	0.2152665198
125	0.2138359091
126	0.2125621022
127	0.2110138712
128	0.2095477939
129	0.2088409248
130	0.2076872713
131	0.2065332501
132	0.2051358999
133	0.2040192789
134	0.2026654857
135	0.2014986367
136	0.2001904102
137	0.1991109635
138	0.197931274
139	0.1966542311
140	0.1957751678
141	0.1947873311
142	0.1937079428
143	0.1932683107
144	0.1921767313
145	0.1909417427
146	0.189956423
147	0.1891905647
148	0.1879430209
149	0.1870724412
150	0.1857522554
151	0.1847639863
152	0.1836477011
153	0.182698562
154	0.1820795282
155	0.1814714177
156	0.1803111072
157	0.1794625747
158	0.1787114947
159	0.1777818989
160	0.1767690206
161	0.1755912273
162	0.1746809167
163	0.17399926
164	0.1735368866
165	0.1727255076
166	0.171820046
167	0.1710795506
168	0.1704973334
169	0.169640193
170	0.1688677875
171	0.1680612273
172	0.167273144
173	0.1664259108
174	0.1658119019
175	0.1651974111
176	0.1644754671
177	0.163924167
