iter	Passed	Remaining
0	59	59101
1	60	30163
2	61	20508
3	62	15667
4	64	12789
5	65	10919
6	67	9571
7	68	8495
8	69	7698
9	71	7040
10	72	6499
11	73	6044
12	74	5661
13	75	5346
14	77	5063
15	78	4813
16	79	4594
17	80	4403
18	81	4227
19	83	4070
20	84	3944
21	85	3819
22	87	3705
23	88	3599
24	89	3505
25	91	3416
26	92	3335
27	93	3250
28	94	3170
29	95	3095
30	96	3023
31	97	2960
32	99	2902
33	100	2846
34	101	2795
35	102	2752
36	104	2717
37	106	2699
38	109	2699
39	111	2669
40	112	2632
41	113	2596
42	115	2562
43	117	2547
44	118	2516
45	120	2488
46	121	2466
47	123	2439
48	124	2412
49	125	2386
50	126	2359
51	128	2347
52	130	2337
53	132	2313
54	133	2292
55	134	2268
56	135	2249
57	137	2234
58	138	2216
59	140	2196
60	141	2179
61	142	2161
62	144	2142
63	145	2125
64	146	2108
65	147	2090
66	149	2075
67	150	2059
68	151	2043
69	152	2028
70	153	2012
71	155	1998
72	156	1992
73	159	1993
74	160	1979
75	161	1969
76	164	1977
77	166	1964
78	168	1961
79	169	1951
80	171	1945
81	172	1932
82	173	1920
83	174	1907
84	176	1896
85	177	1886
86	178	1875
87	179	1864
88	181	1852
89	182	1841
90	183	1830
91	184	1820
92	185	1810
93	186	1800
94	187	1790
95	189	1779
96	190	1770
97	191	1760
98	192	1750
99	193	1739
100	194	1729
101	195	1721
102	196	1713
103	197	1704
104	198	1695
105	200	1688
106	201	1679
107	202	1671
108	203	1663
109	204	1654
110	205	1647
111	206	1638
112	207	1631
113	209	1624
114	210	1617
115	211	1609
116	212	1602
117	213	1596
118	214	1589
119	215	1581
120	216	1575
121	217	1568
122	219	1561
123	220	1554
124	221	1548
125	222	1541
126	223	1535
127	224	1529
128	225	1523
129	226	1518
130	228	1514
131	229	1508
132	230	1503
133	231	1497
134	232	1491
135	233	1485
136	234	1479
137	235	1474
138	237	1468
139	238	1462
140	239	1457
141	240	1451
142	241	1447
143	242	1442
144	243	1437
145	244	1432
146	246	1427
147	247	1423
148	248	1418
149	249	1414
150	250	1410
151	252	1405
152	253	1401
153	254	1397
154	255	1392
155	256	1389
156	258	1385
157	259	1380
158	260	1376
159	261	1371
160	262	1367
161	263	1362
162	264	1358
163	265	1353
164	266	1348
165	267	1344
166	268	1340
167	269	1336
168	270	1332
169	271	1327
170	272	1323
171	274	1319
172	275	1315
173	276	1311
174	277	1307
175	278	1303
176	279	1299
177	280	1295
178	281	1291
179	282	1288
180	283	1284
181	284	1280
182	286	1277
183	287	1273
184	288	1269
185	289	1266
186	290	1262
187	291	1259
188	292	1255
189	293	1251
190	294	1248
191	295	1244
192	296	1241
193	297	1237
194	299	1235
195	300	1232
196	301	1229
197	302	1225
198	303	1222
199	304	1219
200	305	1216
201	307	1214
202	308	1211
203	309	1208
204	310	1204
205	311	1201
206	312	1198
207	313	1195
208	315	1192
209	316	1189
210	317	1187
211	318	1184
212	319	1181
213	320	1178
214	321	1175
215	322	1172
216	324	1169
217	325	1166
218	326	1163
219	327	1160
220	328	1157
221	329	1155
222	330	1152
223	331	1149
224	332	1146
225	333	1143
226	334	1140
227	335	1137
228	337	1135
229	338	1133
230	339	1131
231	340	1128
232	342	1127
233	343	1124
234	346	1126
235	347	1124
236	348	1121
237	349	1120
238	351	1117
239	352	1115
240	353	1114
241	354	1111
242	356	1109
243	357	1106
244	358	1103
245	359	1100
246	360	1098
247	361	1096
248	362	1093
249	363	1091
250	364	1088
251	366	1086
252	367	1084
253	368	1082
254	369	1080
255	370	1078
256	371	1075
257	373	1073
258	374	1070
259	375	1067
260	376	1065
261	377	1063
262	378	1061
263	379	1058
264	380	1056
265	381	1053
266	382	1051
267	383	1048
268	385	1047
269	386	1044
270	387	1042
271	388	1040
272	389	1038
273	391	1036
274	392	1034
275	393	1031
276	394	1030
277	395	1028
278	397	1025
279	398	1023
280	399	1021
281	400	1019
282	401	1017
283	402	1015
284	403	1012
285	404	1010
286	405	1008
287	407	1006
288	408	1004
289	409	1001
290	410	1000
291	411	997
292	412	995
293	413	993
294	414	991
295	415	988
296	416	986
297	418	985
298	419	982
299	420	980
300	421	978
301	422	976
302	423	974
303	424	972
304	426	970
305	427	969
306	428	966
307	429	964
308	430	962
309	431	960
310	432	958
311	433	956
312	435	955
313	436	953
314	437	951
315	438	949
316	439	947
317	441	945
318	442	943
319	443	941
320	444	939
321	445	937
322	446	935
323	447	933
324	448	931
325	449	929
326	450	927
327	451	925
328	452	923
329	453	921
330	454	919
331	455	917
332	456	915
333	457	912
334	458	910
335	459	908
336	460	906
337	461	904
338	462	902
339	463	900
340	464	898
341	466	897
342	467	895
343	468	893
344	469	891
345	470	889
346	471	887
347	472	886
348	474	884
349	475	882
350	476	880
351	477	879
352	478	877
353	479	875
354	480	873
355	481	871
356	482	869
357	484	868
358	485	866
359	486	864
360	487	862
361	488	860
362	489	859
363	490	857
364	491	855
365	492	853
366	494	852
367	495	850
368	496	848
369	497	847
370	498	845
371	499	843
372	500	841
373	501	840
374	503	838
375	504	836
376	505	834
377	506	833
378	507	831
379	508	829
380	509	827
381	510	825
382	511	824
383	512	822
384	513	820
385	515	819
386	516	817
387	517	815
388	518	814
389	519	812
390	520	810
391	521	808
392	522	807
393	523	805
394	525	804
395	526	802
396	527	801
397	528	799
398	529	798
399	531	796
400	532	794
401	533	793
402	534	791
403	535	790
404	536	788
405	538	787
406	539	785
407	540	784
408	541	782
409	542	780
